編號,案類,發生日期,發生時段,發生地點
2140,自行車竊盜,1100306,05~07,臺北市中正區羅斯福路4段40巷6弄內
2141,自行車竊盜,1100307,23~01,臺北市中正區延平南路211~240號
2142,自行車竊盜,1100307,11~13,臺北市文山區萬美里007鄰萬芳路1~30號
2143,自行車竊盜,1100307,14~16,臺北市大安區龍圖里信義路3段181~210號
2144,自行車竊盜,1100308,08~10,臺北市大安區龍門里大安森林公園捷運站2號車出口腳踏車停放區
2145,自行車竊盜,1100309,08~10,臺北市大安區學府里羅斯福路4段1~30號
2146,自行車竊盜,1100309,11~13,臺北市萬華區莒光路181~210號
2147,自行車竊盜,1100310,17~19,臺北市士林區三玉里忠誠路2段31~60號
2148,自行車竊盜,1100311,11~13,臺北市大安區龍安里和平東路1段151~180號
2149,自行車竊盜,1100312,17~19,臺北市信義區西村里松仁路1~30號
2150,自行車竊盜,1100312,20~22,臺北市大同區重慶北路2段151~180號
2151,自行車竊盜,1100313,08~10,臺北市中正區中山南路1~30號
2152,自行車竊盜,1100314,02~04,臺北市南港區玉成里南港路3段181~210號
2153,自行車竊盜,1100314,08~10,臺北市中正區南海路56號建國中學
2154,自行車竊盜,1100315,14~16,臺北市中正區三愛里臨沂街75巷31~60號
2155,自行車竊盜,1100315,14~16,臺北市文山區木新里032鄰木新路2段111巷12弄1~30號
2156,自行車竊盜,1100315,08~10,臺北市士林區葫蘆里延平北路5段271~300號
2157,自行車竊盜,1100316,20~22,臺北市南港區南港捷運站2號出口旁腳踏車停放區
2158,自行車竊盜,1100317,02~04,臺北市大安區龍淵里辛亥路2段171巷6弄
2159,自行車竊盜,1100317,08~10,臺北市內湖區瑞光路與瑞光路76巷口
2160,自行車竊盜,1100317,11~13,臺北市中山區松江路61~90號前
2161,自行車竊盜,1100320,14~16,臺北市南港區西新里成功路1段1~30號
2162,自行車竊盜,1100320,02~04,臺北市大安區永康里信義路與永康街口
2163,自行車竊盜,1100320,14~16,臺北市北投區榮光里石牌路1段166巷31~60號
2164,自行車竊盜,1100320,02~04,臺北市萬華區西昌街181~210號
2165,自行車竊盜,1100323,08~10,臺北市大同區承德路2段31~60號
2166,自行車竊盜,1100326,14~16,臺北市中山區南京東路3段121~150號
2167,自行車竊盜,1100328,20~22,臺北市大安區學府里基隆路3段151~180號
2168,自行車竊盜,1100328,20~22,臺北市士林區德華里文林路631~660號
2169,自行車竊盜,1100330,23~01,臺北市大安區學府里基隆路3段121~150號旁
2170,自行車竊盜,1100401,11~13,臺北市大安區學府里長興街31~60號
2171,自行車竊盜,1100401,14~16,臺北市內湖區民權東路6段115巷
2172,自行車竊盜,1100402,02~04,臺北市大安區和安里信義路3段157巷10弄1~30號
2173,自行車竊盜,1100402,20~22,臺北市大安區仁慈里復興南路1段279巷30弄1~30號
2174,自行車竊盜,1100404,05~07,臺北市大同區重慶北路3段205巷1~30號
2175,自行車竊盜,1100405,05~07,臺北市萬華區昆明街96巷1~30號
2176,自行車竊盜,1100405,14~16,臺北市信義區安康里虎林街141巷1~30號
2177,自行車竊盜,1100408,17~19,臺北市萬華區德昌街261巷1~30號
2178,自行車竊盜,1100409,05~07,臺北市信義區松友里信義路6段76巷8弄31~60號
2179,自行車竊盜,1100410,14~16,臺北市大安區法治里通化街190巷內
2180,自行車竊盜,1100410,08~10,臺北市大安區錦安里和平東路1段121~150號
2181,自行車竊盜,1100412,05~07,臺北市大安區仁愛里敦化南路1段固定式腳踏車停放區
2182,自行車竊盜,1100412,11~13,臺北市中正區牯嶺街121~150號
2183,自行車竊盜,1100413,17~19,臺北市大安區龍圖里復興南路2段31~60號
2184,自行車竊盜,1100413,17~19,臺北市中山區南京東路3段211~240號前
2185,自行車竊盜,1100413,05~07,臺北市中山區路大直街127巷1~30號
2186,自行車竊盜,1100414,20~22,臺北市信義區三張里莊敬路325巷1~30號
2187,自行車竊盜,1100414,11~13,臺北市大安區錦安里和平東路1段121~150號
2188,自行車竊盜,1100414,14~16,臺北市士林區社子里社中街156巷31~60號
2189,自行車竊盜,1100415,23~01,臺北市大安區民輝里忠孝新生捷運站3號出口前
2190,自行車竊盜,1100415,02~04,臺北市大安區全安里安和路2段211~230號
2191,自行車竊盜,1100416,23~01,臺北市大同區承德路2段61~90號
2192,自行車竊盜,1100417,23~01,臺北市大同區延平北路2段181~210號
2193,自行車竊盜,1100419,20~22,臺北市萬華區環河南路2段250巷17弄1~30號
2194,自行車竊盜,1100419,08~10,臺北市萬華區萬大路187巷3弄1~30號
2195,自行車竊盜,1100420,02~04,臺北市信義區西村里松壽路1~30號
2196,自行車竊盜,1100420,14~16,臺北市萬華區康定路211~240號
2197,自行車竊盜,1100420,23~01,臺北市大同區哈密街59巷21弄1~30號
2198,自行車竊盜,1100421,05~07,臺北市文山區木柵里029鄰木柵路3段102巷6弄口
2199,自行車竊盜,1100421,02~04,臺北市中正區中華路2段307巷1~30號
2200,自行車竊盜,1100421,17~19,臺北市士林區蘭雅里忠誠路2段40巷1~30號
2201,自行車竊盜,1100422,23~01,臺北市大安區通安里通安街1~30號
2202,自行車竊盜,1100422,08~10,臺北市南港區中研里研究院路2段91~120號
2203,自行車竊盜,1100422,20~22,臺北市松山區南京東路5段181~210號
2204,自行車竊盜,1100422,02~04,臺北市大安區新龍里建國南路2段151巷19弄1~30號
2205,自行車竊盜,1100423,23~01,臺北市信義區三張里信義路5段101捷運站2號出口前
2206,自行車竊盜,1100423,02~04,臺北市萬華區武成街101巷4弄1~30號
2207,自行車竊盜,1100423,17~19,臺北市內湖區內湖路1段667巷港墘捷運站一號出口
2208,自行車竊盜,1100424,17~19,臺北市南港區新光里忠孝東路7段361~390號
2209,自行車竊盜,1100424,11~13,臺北市松山區南京東路5段123巷1~30號
2210,自行車竊盜,1100425,17~19,臺北市內湖區內湖區五分街1~30號
2211,自行車竊盜,1100425,17~19,臺北市大安區住安里信義路4段1~30號
2212,自行車竊盜,1100425,05~07,臺北市內湖區內湖路1段737巷1~30號
2213,自行車竊盜,1100426,08~10,臺北市南港區成福里東新街108巷1~30號
2214,自行車竊盜,1100427,17~19,臺北市大安區和安里建國南路1段291巷1~30號
2215,自行車竊盜,1100429,17~19,臺北市大安區車層里仁愛路4段345巷4弄31~60號
2216,自行車竊盜,1100430,17~19,臺北市信義區安康里松德路61~90號
2217,自行車竊盜,1100430,08~10,臺北市信義區黎平里富陽街21巷6弄1~30號
2218,自行車竊盜,1100502,17~19,臺北市文山區興福里17鄰興隆路2段22巷1~30號
2219,自行車竊盜,1100503,02~04,臺北市松山區敦化北路181~210號
2220,自行車竊盜,1100503,23~01,臺北市松山區光復北路1~30號
2221,自行車竊盜,1100504,20~22,臺北市大安區福住里新生南路2段31~60號
2222,自行車竊盜,1100504,02~04,臺北市中正區同安街8巷1~30號前
2223,自行車竊盜,1100505,23~01,臺北市中山區復興北路380巷內
2224,自行車竊盜,1100505,20~22,臺北市士林區通河東街1段3巷1~30號
2225,自行車竊盜,1100506,20~22,臺北市萬華區永福街91~120號
2226,自行車竊盜,1100507,11~13,臺北市萬華區桂林路1~30號
2227,自行車竊盜,1100508,23~01,臺北市大安區義村里復興南路1段181~210號
2228,自行車竊盜,1100509,11~13,臺北市中正區八德路1段43巷(三創生活園區後門)
2229,自行車竊盜,1100510,08~10,臺北市大同區重慶北路3段241~270號
2230,自行車竊盜,1100510,11~13,臺北市士林區忠誠路2段31~60號
2231,自行車竊盜,1100511,11~13,臺北市信義區西村里信義路5段1~30號
2232,自行車竊盜,1100512,14~16,臺北市大安區學府里羅斯福路4段1~30號
2233,自行車竊盜,1100512,02~04,臺北市南港區玉成里玉成街1~30號
2234,自行車竊盜,1100512,17~19,臺北市北投區榮華里天母西路121~150號
2235,自行車竊盜,1100513,23~01,臺北市信義區興隆里忠孝東路4段391~420號
2236,自行車竊盜,1100514,11~13,臺北市萬華區和平西路3段211~240號
2237,自行車竊盜,1100514,02~04,臺北市士林區芝玉路2段52巷1~30號
2238,自行車竊盜,1100516,11~13,臺北市大安區和安里建國南路1段271~300號
2239,自行車竊盜,1100516,05~07,臺北市信義區興雅里忠孝東路5段市政府捷運站1號出口外
2240,自行車竊盜,1100516,12~15,臺北市士林區承德里中山北路5段61~90號
2241,自行車竊盜,1100517,02~04,臺北市南港區合成里永吉路541~570號
2242,自行車竊盜,1100518,20~22,臺北市大安區法治里8鄰通化街190巷1~30號
2243,自行車竊盜,1100521,23~01,臺北市大同區大橋頭捷運站2號出口
2244,自行車竊盜,1100523,17~19,臺北市中正區詔安街272巷1~30號
2245,自行車竊盜,1100525,02~04,臺北市大安區虎嘯里和平東路3段31~60號
2246,自行車竊盜,1100527,14~16,臺北市大安區龍圖里信義路3段91~120號
2247,自行車竊盜,1100601,11~13,臺北市北投區清江里清江路151~180號
2248,自行車竊盜,1100602,02~04,臺北市大安區通安里通安街91~120號
2249,自行車竊盜,1100603,05~07,臺北市中正區廣州街8巷與中華路二段75巷口
2250,自行車竊盜,1100604,05~07,臺北市大安區全安里安和路2段181~210號
2251,自行車竊盜,1100605,02~04,臺北市大安區龍圖里信義路3段91~120號
2252,自行車竊盜,1100606,11~13,臺北市萬華區廣州街211~240號
2253,自行車竊盜,1100610,17~19,臺北市文山區萬興里018鄰新光路1段65巷1~30號
2254,自行車竊盜,1100610,02~04,臺北市大安區大學里辛亥路1段31~60號
2255,自行車竊盜,1100611,11~13,臺北市大安區龍生里和平東路與建國南路口
2256,自行車竊盜,1100611,20~22,臺北市大安區學府里芳蘭路61~90號
