案類,發生日期,發生時段,發生地點
住宅竊盜,1040407,10~12,臺北市中山區大直街84巷1~30號
住宅竊盜,1040407,10~12,臺北市內湖區紫陽里文德路22巷59弄1~30號
住宅竊盜,1040408,12~14,臺北市中正區螢雪里重慶南路3段74巷1~30號
住宅竊盜,1040409,10~12,臺北市中山區農安街1~30號
住宅竊盜,1040410,06~08,臺北市北投區吉利里23鄰吉利街320巷1弄1~30號
住宅竊盜,1040410,16~18,臺北市萬華區忠德里4鄰寶興街91~120號
住宅竊盜,1040410,20~22,臺北市松山區民生東路5段181~210號
住宅竊盜,1040411,10~12,臺北市內湖區內湖路1段359巷1~30號
住宅竊盜,1040413,10~12,臺北市北投區智仁里杏林二路28巷1~30號
住宅竊盜,1040413,12~14,臺北市萬華區貴陽街2段151~180號
住宅竊盜,1040413,16~18,臺北市大同區永樂里甘谷街1~30號
住宅竊盜,1040415,00~02,臺北市萬華區富民里4鄰貴陽街2段151~180號
住宅竊盜,1040415,08~10,臺北市松山區民生東路4段55巷1~30號
住宅竊盜,1040415,16~18,臺北市萬華區西園路2段261巷31~60號
住宅竊盜,1040416,06~08,臺北市文山區萬和里1鄰溪州街137巷61~90號
住宅竊盜,1040416,06~08,臺北市士林區三玉里忠誠路2段41巷1~30號
住宅竊盜,1040416,12~14,臺北市中山區中山北路2段93巷1~30號
住宅竊盜,1040416,14~16,臺北市內湖區康樂街61巷12弄1~30號
住宅竊盜,1040416,14~16,臺北市北投區永欣里石牌路2段181~210號
住宅竊盜,1040416,20~22,臺北市南港區舊莊里舊莊街1段145巷6弄1~30號
住宅竊盜,1040417,18~20,臺北市北投區奇岩里奇岩路31~60號
住宅竊盜,1040417,18~20,臺北市中山區建國北路3段22巷1~30號
住宅竊盜,1040419,14~16,臺北市北投區榮華里榮華一路15巷1~30號
住宅竊盜,1040420,12~14,臺北市內湖區五分街61~90號
住宅竊盜,1040420,16~18,臺北市內湖區瑞光里瑞光路235巷1~30號
住宅竊盜,1040420,22~24,臺北市中山區遼寧街241~270號
住宅竊盜,1040421,18~20,臺北市文山區指南里15鄰指南路3段26巷1~30號
住宅竊盜,1040422,18~20,臺北市松山區撫遠街181~210號
住宅竊盜,1040422,20~22,臺北市萬華區萬大路493巷12弄1~30號
住宅竊盜,1040423,04~06,臺北市內湖區康樂街136巷15弄1~30號
住宅竊盜,1040423,08~10,臺北市松山區南京東路5段211~240號
住宅竊盜,1040423,14~16,臺北市內湖區樂康里康樂街136巷15弄1~30號
住宅竊盜,1040423,18~20,臺北市士林區仁勇里16鄰大東路121~150號
住宅竊盜,1040423,20~22,臺北市萬華區環河南路2段250巷3弄1~30號
