編號,案類,發生日期,發生時段,發生地點
202,機車竊盜,1070410,20~22,臺北市大同區太原路115巷1 - 30號
203,機車竊盜,1070411,20~22,臺北市大同區重慶北路三段296巷與迪化街二段口
204,機車竊盜,1070412,11~13,臺北市文山區順興里木新路2段218巷1 - 30號
205,機車竊盜,1070412,08~10,臺北市北投區洲美街1 - 30號
206,機車竊盜,1070412,08~10,臺北市大同區伊寧街31 - 60號
207,機車竊盜,1070413,08~10,臺北市中山區興安街91 - 120號
208,機車竊盜,1070413,08~10,臺北市中山區松江路69巷1 - 30號
209,機車竊盜,1070415,17~19,臺北市大安區通化街175巷1 - 30號
210,機車竊盜,1070415,17~19,臺北市南港區南港路一段271 - 300號
211,機車竊盜,1070416,05~07,臺北市中山區敬業四路與樂群二路口
212,機車竊盜,1070416,17~19,臺北市內湖區新湖三路與民善街口
213,機車竊盜,1070417,08~10,臺北市中山區興安街91 - 120號
214,機車竊盜,1070417,08~10,臺北市信義區忠孝東路五段790巷68弄1 - 30號
215,機車竊盜,1070418,20~22,臺北市大安區忠孝東路三段217巷1弄1之1 - 30號
216,機車竊盜,1070418,11~13,臺北市甘州街與歸綏街口之停車格
217,機車竊盜,1070418,02~04,臺北市大同區承德路3段122巷1 - 30號
218,機車竊盜,1070419,20~22,臺北市中正區逸仙公園旁無名巷
219,機車竊盜,1070419,20~22,臺北市中正區晉江街96巷口
220,機車竊盜,1070420,11~13,臺北市文山區萬芳路1 - 30號
221,機車竊盜,1070420,14~16,臺北市北投區文林北路61 - 90號
222,機車竊盜,1070420,20~22,臺北市北投區大興街24巷1弄1 - 30號
223,機車竊盜,1070420,11~13,臺北市士林區基河路1 - 30號
224,機車竊盜,1070421,08~10,臺北市大安區浦城街與羅斯福路三段交叉口
225,機車竊盜,1070422,17~19,臺北市中山區合江街61巷與龍江路229巷口
226,機車竊盜,1070422,05~07,臺北市中山區錦州街231巷口附近
227,機車竊盜,1070423,05~07,臺北市大安區金華街91 - 120號
228,機車竊盜,1070423,20~22,臺北市大安區錦安里金華街118之1 - 30號
229,機車竊盜,1070423,20~22,臺北市士林區忠誠里中山北路6段132巷1 - 30號
230,機車竊盜,1070425,05~07,臺北市中正區羅斯福路3段211 - 240號
231,機車竊盜,1070426,08~10,臺北市中山區錦州街181 - 210號
232,機車竊盜,1070427,20~22,臺北市北投區天母北路105巷1 - 30號
233,機車竊盜,1070428,11~13,臺北市大安區延吉街91 - 120號
234,機車竊盜,1070428,08~10,臺北市北投區石牌路2段181 - 210號
235,機車竊盜,1070428,14~16,臺北市中坡北路37巷1 - 30號
236,機車竊盜,1070428,20~22,臺北市大同區涼州街91 - 120號
237,機車竊盜,1070428,17~19,臺北市萬華區西園路一段、桂林路口一帶
238,機車竊盜,1070428,08~10,臺北市萬華區永福街1 - 30號
239,機車竊盜,1070428,17~19,臺北市北投區北投捷運站附近
240,機車竊盜,1070430,05~07,臺北市中山區雙城街28巷1 - 30號
241,機車竊盜,1070430,17~19,臺北市內湖區週美里新明路475巷1 - 30號
242,機車竊盜,1070430,17~19,臺北市萬華區萬大路301 - 330號
243,機車竊盜,1070430,08~10,臺北市萬華區內江街與西寧南路一帶
244,機車竊盜,1070501,02~04,臺北市中山區新生北路3段與林森北路557巷交叉口
245,機車竊盜,1070501,08~10,臺北市中正區南昌路1段1 - 30號
246,機車竊盜,1070501,11~13,臺北市北投區立農街二段301 - 330號
247,機車竊盜,1070501,17~19,臺北市松山區復興北路151 - 180號
248,機車竊盜,1070501,08~10,臺北市大安區忠孝東路4段205巷1 - 30號
249,機車竊盜,1070501,11~13,臺北市南港區重陽路166巷1 - 30號
250,機車竊盜,1070501,17~19,臺北市南港區重陽路166巷1 - 30號
251,機車竊盜,1070501,08~10,臺北市內湖區大湖街168巷
252,機車竊盜,1070502,08~10,臺北市中山區松江路與長安東路口
253,機車竊盜,1070502,02~04,臺北市南港區忠孝東路六段421 - 450號
254,機車竊盜,1070502,05~07,臺北市萬華區電影街周邊
255,機車竊盜,1070504,20~22,臺北市中山區建國北路一段121 - 150號
256,機車竊盜,1070504,20~22,臺北市內湖區內湖路2段31 - 60號
257,機車竊盜,1070505,11~13,臺北市中山區民權東路二段92巷口
258,機車竊盜,1070505,17~19,臺北市中山區民權東路三段61 - 90號
259,機車竊盜,1070507,17~19,臺北市文山區羅斯福路路5段97巷1 - 30號
260,機車竊盜,1070507,08~10,臺北市北投區富貴一路1 - 30號
261,機車竊盜,1070507,14~16,臺北市士林區永倫里15鄰社中街391 - 420號
262,機車竊盜,1070508,20~22,臺北市大同區迪化街271 - 300號
263,機車竊盜,1070510,11~13,臺北市信義區松勇路69巷1 - 30號
264,機車竊盜,1070510,17~19,臺北市松山區南京三民捷運站1 - 30號出口
265,機車竊盜,1070510,17~19,臺北市萬華區西寧南路31 - 60號
266,機車竊盜,1070511,17~19,臺北市中正區市民大道國父史蹟館旁無名巷
267,機車竊盜,1070511,14~16,臺北市士林區聖山里21鄰忠誠路一段151 - 180號
268,機車竊盜,1070511,08~10,臺北市士林區蘭雅里德行東路石油新村旁
269,機車竊盜,1070512,08~10,臺北市文山區萬興里1鄰秀明路2段12巷1弄1 - 30號
270,機車竊盜,1070512,17~19,臺北市內湖區新湖一路38巷1 - 30號
271,機車竊盜,1070512,08~10,臺北市忠孝東路7段124巷的橋上
